252	计算机系研究生党支部书记、计研五三班级带班助理
254	辅导员
272	学工经历
278	唐杰教授《高级机器学习》课程助教，第一作者负责书籍
279	《大语言模型》
280	的编写和修改，设立对应网站
281	担任清华大学研团实践部定岗组长
282	，构建优化“同行实践平台”微信小程序，持续服务全校硕博研究生
283	在清华大学新闻网上
284	以第一通讯员身份发表文章
285	担任计算机系研团实践部书记
286	，作为队长负责联络宣传带队全部的七系联合产业行活动，包括北京字节跳动、腾讯、美团、九坤投资、网易有道、杭州13家科技企业走访，主稿23篇推送
287	担任带班助理，
288	获得3次集体荣誉
289	：笃行班团、卓越班团（全校仅5个）、清华大学甲级团支部
290	获得10次个人荣誉
291	：专业二等奖学金、社会工作二等奖学金、社会实践奖学金、清华大学优秀共青团员、校研团组长任职经历证明、计算机系研团书记任职经历证明、团支部书记任职聘书、新生骨干优秀学员
292	担任校学生会体育部骨干，长期坚持跑步和健身，获得
293	马拉松10km奖牌，半马奖牌，健美小组第五名
314	实习经历
317	中国北京智谱华章科技股份有限公司-AI院
318	AI研发岗
321	中国湖南网数科技有限公司-网络大数据研究中心
326	中国科学院信息工程研究所
327	助理研究岗
329	中国阿里云原生团队
330	算法岗
332	中国地质大学（北京）信息技术创新中心
333	竞赛主管
354	个人陈述
356	参研项目(技术)
357	区块链链上链下数据可信交互关键技术研究
359	纵向-科技部
360	大模型与区块链
362	网站《Open Data Entry 数据开放入口》
364	公共服务
365	论文《Is ChatGPT All That MedNLP Needs? A Systematic Evaluation of Knowledge Discovery 
368	在投
369	论文《OpenMonet：Open Model Orchestration Network》
371	在研
372	负责专业技术交叉研究、相关理论创新与应用落地、论文书写
374	老年肾功能减退临床综合评估管理及早期预警体系建立
377	数智涌现的新一代智慧医疗
379	论文《Research of Client Selection Algorithm in Cross-device Federated Learning》
382	软件学报
383	医疗数据标注系统、中文分词处理系统
385	相关服务
386	负责医工学科交叉研究、相关场景创新与应用落地、论文书写
387	创业项目(项目负责)
388	基于强化学习的足球机器人教练系统研发
390	国家级
391	基于ROS的多级足球机器人系统的开发
393	论文《基于Ubuntu下ros变种rocos等操作系统架构的研究》
395	科技核心
396	论文《System Composition and Optimization of Small Soccer Robot》
398	外文EI
399	论文《基于改进人工势场和新型网格的路径规划》
401	北大核心
402	负责项目整体研究思路梳理和研究内容分工，完成核心AI算法开发和系统搭建
403	合作项目(组长)
404	论文《基于主成分分析对禁瓶令效果的研究》
406	国家刊物
407	论文《Global epidemic classification based on K-nearest neighbor algorithm》
410	论文《Mid-term and long-term prediction of carbon emissions in Jiangsu Province based on 
412	 外文EI
413	负责AI算法开发与实验，文献查阅和调研
414	外包项目(项目负责)
415	AiMed 医学知识大模型应用服务系统
416	 软件著作权
417	风力发电机气动平衡检测系统、智慧型半人工酒店系统
419	控制项目进度，负责建立系统框架，核心程序开发，方案展示及答辩
484	认真负责，严谨细致，逻辑思维和学习能力强；拥有良好的人际沟通能力且善于团队合作。希望经过博士阶段系统的科研训练，在未来做出真正造福世界、改变世界，助力全人类向善、向好、向幸福的事。
